7,Fosun International,Nuno Espirito Santo,Rui PedroSilva,Phil Hayward
1,Fenway Sports Group,Jurgen Klopp,Peter Krawietz,Andrew Massey
2,Manchester City Limited,Pep Guardiola,Brian Kidd,Jose Cabello
3,Stan Kroenke,Unai Emery,Juan Carlos Carcedo,Paul Akers
4,Tottenham Hotspur,Miguel DAgostino,Jesus Perez,Nathan Gardiner
5,Yorkshire Railway Company,Michael Carrick,Mike Phelan,Steve McNally
6,Ken Bates,Maurizio Sarri,Luca Gotti,Paco Biosca
15,Tony Bloom,Chris Hughton,Paul Trollope,Adam Brett
16,Gao Jisheng,Ralph Hasenhuttl,Danny Rohl,Tom Sturdy
17,Michael Garlick,Sean Dyche,Ian Woan,Alasdair Beattie
18,Vincent Tan,Neil Warnock,Kevin Blackwell,Matthew May
19,Shahid Khan,Scott Parker,Stuart Gray,Marco Cesarini
20,Dean Hoyle,Jan Siewert,Andreas Winkler,Ian Kirkpatrick
8,Aiyawatt Srivaddhanaprabha,Mike Stowell,Adam Sadler,Glen Driscoll
9,Bill Kenwright,Paul Tait,Joao Pedro Sousa Silva,Steve Nickson
10,Gino Pozzo,Javi Gracia,Javi Gracia,David Walter
11,David Sullivan,Manuel Pellegrini,"Jason Tindall 
Andrew Pincher",Stephen Purches
12,Maxim Demin,Eddie Howe,Neil Moss,Dan Hodges
13,Steve Parish,Roy Hodgson,Alex Maley,Jack Tresadern
14,Mike Ashley,Rafael Benitez,Mikel Antia,Simon Smith
